START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/12/21,06:15 PM,07:15 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: FOX ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/12/21,06/12/21,09:15 PM,10:15 PM,FALSE,TRUE,06/12/21,05:15 PM,06:15 PM,FREE,BUSY
06/13/21,06:08 PM,07:08 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: ESPN ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/13/21,06/13/21,09:08 PM,10:08 PM,FALSE,TRUE,06/13/21,05:08 PM,06:08 PM,FREE,BUSY
06/18/21,07:05 PM,08:05 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/18/21,06/18/21,10:05 PM,11:05 PM,FALSE,TRUE,06/18/21,06:05 PM,07:05 PM,FREE,BUSY
06/19/21,01:20 PM,02:20 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/19/21,06/19/21,04:20 PM,05:20 PM,FALSE,TRUE,06/19/21,12:20 PM,01:20 PM,FREE,BUSY
06/20/21,01:20 PM,02:20 PM,Marlins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/20/21,06/20/21,04:20 PM,05:20 PM,FALSE,TRUE,06/20/21,12:20 PM,01:20 PM,FREE,BUSY
06/21/21,07:05 PM,08:05 PM,Indians at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/21/21,06/21/21,10:05 PM,11:05 PM,FALSE,TRUE,06/21/21,06:05 PM,07:05 PM,FREE,BUSY
06/22/21,07:05 PM,08:05 PM,Indians at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/22/21,06/22/21,10:05 PM,11:05 PM,FALSE,TRUE,06/22/21,06:05 PM,07:05 PM,FREE,BUSY
07/05/21,07:05 PM,08:05 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/05/21,07/05/21,10:05 PM,11:05 PM,FALSE,TRUE,07/05/21,06:05 PM,07:05 PM,FREE,BUSY
07/06/21,07:05 PM,08:05 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/06/21,07/06/21,10:05 PM,11:05 PM,FALSE,TRUE,07/06/21,06:05 PM,07:05 PM,FREE,BUSY
07/07/21,07:05 PM,08:05 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/07/21,07/07/21,10:05 PM,11:05 PM,FALSE,TRUE,07/07/21,06:05 PM,07:05 PM,FREE,BUSY
07/08/21,07:05 PM,08:05 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- ESPN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/08/21,07/08/21,10:05 PM,11:05 PM,FALSE,TRUE,07/08/21,06:05 PM,07:05 PM,FREE,BUSY
